region,category,pair_id,app_name,package,collected_count,shared_count,collected_items:data->purpose,shared_items:data->purpose,link,notes
ru,ecom_2,ecom2,Wildberries,com.wildberries.ru,4,6,"Location:Precise location · Optional->App functionality, Personalization; Personal info:Name · Optional->Fraud prevention, security, and compliance; Personal info:Email address · Optional->Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management;  Personal info:User Ids-> App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality; Personal info:Phone number · Optional->App functionality, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management;  Personal info:Other info-> Fraud prevention, security, and compliance; App activity:Other user-generated content · Optional->App functionality; Financial info:Purchase history->App functionality","Device or other IDs:Device or other Ids->App functionality, Analytics, Fraud prevention, security, and compliance, Account management; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics; App info and performance:Other app performance data-> Analytics; Personal info:Name->Fraud prevention, security, and compliance; Photos and videos:Photos->App functionality, Account management; App activity:App interactions->Analytics; App activity:Other user-generated content-> App functionality; App activity:Other actions-> Analytics; Financial info:User payment info->Fraud prevention, security, and compliance",https://play.google.com/store/apps/datasafety?id=com.wildberries.ru,Google Play Data safety: Data may be shared with third parties; Security practices: Data isn’t encrypted in transit
eu,ecom_2,ecom2,Zalando,de.zalando.mobile,5,5,"Device or other IDs:Device or other Ids->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Personal info:Name->App functionality, Advertising or marketing, Personalization, Account management; Personal info:Email address-> App functionality, Advertising or marketing, Account management; Personal info:User Ids-> App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address-> Personalization, Account management; Personal info:Phone number · Optional->Account management; Personal info:Other info · Optional->Account management; Financial info:User payment info->Account management; Financial info:Purchase history · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Financial info:Credit score-> Account management; App activity:App interactions · Optional->Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App activity:In-app search history · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App activity:Other actions · Optional->Personalization; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics, Fraud prevention, security, and compliance","Device or other IDs:Device or other Ids->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Personal info:Name->Personalization, Account management; Personal info:Email address-> Advertising or marketing, Account management; Personal info:User Ids-> Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address-> Account management; Personal info:Phone number-> Account management; Personal info:Other info-> Account management; Financial info:User payment info and Purchase history; Financial info:User payment info->Account management; Financial info:Purchase history-> Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Account management; App activity:App interactions and In-app search history; App activity:App interactions->Analytics, Advertising or marketing, Personalization, Account management; App activity:In-app search history-> Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics, Fraud prevention, security, and compliance",https://play.google.com/store/apps/datasafety?id=de.zalando.mobile,Google Play Data safety: Data may be shared with third parties
ru,ecom_3,ecom3,Yandex Market,ru.beru.android,10,4,"Messages:Other in-app messages · Optional->App functionality; Personal info:Name · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Email address · Optional->App functionality, Developer communications, Advertising or marketing, Account management; Personal info:User Ids-> App functionality, Analytics, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality, Fraud prevention, security, and compliance, Personalization; Personal info:Phone number · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Other info · Optional->Account management; Device or other IDs:Device or other IDs · Optional->Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Web browsing:Web browsing history · Optional->App functionality; Location:Approximate location and Precise location; Location:Approximate location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Location:Precise location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App activity:App interactions->Analytics; App activity:In-app search history · Optional->App functionality; App activity:Other user-generated content · Optional->App functionality; App activity:Other actions · Optional->Analytics; Photos and videos:Photos · Optional->App functionality, Developer communications; Photos and videos:Videos · Optional->App functionality; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics; App info and performance:Other app performance data-> Analytics; Files and docs:Files and docs · Optional->App functionality; Financial info:User payment info and Purchase history; Financial info:User payment info · Optional->App functionality, Fraud prevention, security, and compliance; Financial info:Purchase history · Optional->App functionality, Analytics","Messages:Other in-app messages->App functionality; Personal info:Name->Fraud prevention, security, and compliance; Personal info:Address-> Fraud prevention, security, and compliance; Personal info:Phone number-> Fraud prevention, security, and compliance; Photos and videos:Photos->App functionality; Photos and videos:Videos-> App functionality; Files and docs:App functionality",https://play.google.com/store/apps/datasafety?id=ru.beru.android,Google Play Data safety: Data may be shared with third parties
eu,ecom_3,ecom3,bol,com.bol.shop,8,0,"App activity:App interactions · Optional->App functionality, Analytics, Advertising or marketing, Personalization; App activity:In-app search history-> App functionality, Analytics, Advertising or marketing, Personalization; App activity:Other user-generated content · Optional->App functionality, Analytics; App activity:Other actions · Optional->Analytics, Advertising or marketing, Personalization; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->Analytics; App info and performance:Diagnostics-> Analytics; Messages:Other in-app messages · Optional->App functionality, Analytics, Advertising or marketing; Financial info:User payment info and Purchase history; Financial info:User payment info · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Financial info:Purchase history · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Personalization, Account management; Web browsing:Web browsing history->Analytics, Advertising or marketing, Personalization; Device or other IDs:Device or other Ids->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention,->security, and compliance, Personalization, Account management; Personal info:Name · Optional->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Email address · Optional->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Personal info:User IDs · Optional->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Phone number · Optional->App functionality, Advertising or marketing, Account management; Personal info:Other info · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Location:Approximate location->Analytics, Advertising or marketing",No data shared,https://play.google.com/store/apps/datasafety?id=com.bol.shop,Google Play Data safety: No data shared with third parties
ru,ecom_4,ecom4,Avito,com.avito.android,0,0,no declared data,no declared data,https://www.rustore.ru/catalog/app/com.avito.android,Google Play Data safety: No data shared with third parties
eu,ecom_4,ecom4,Vinted,fr.vinted,8,6,"Messages:Emails and Other in-app messages; Messages:Emails->App functionality, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Messages:Other in-app messages-> App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Location:Approximate location and Precise location; Location:Approximate location->App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Location:Precise location · Optional->App functionality; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->App functionality, Analytics; App info and performance:Diagnostics-> App functionality, Analytics; Personal info:Name->App functionality, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Personal info:Email address-> App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Personal info:User Ids-> App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Personal info:Address · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Account management; Personal info:Phone number-> App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Other info-> App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; App activity:App interactions->Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; App activity:In-app search history-> App functionality, Analytics, Advertising or marketing, Personalization; App activity:Other user-generated content · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Account management; App activity:Other actions-> App functionality, Analytics, Developer communications, Fraud prevention, security, and compliance, Personalization, Account management; Photos and videos:Photos · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Account management; Photos and videos:Videos · Optional->App functionality, Fraud prevention, security, and compliance; Financial info:User payment info and Purchase history; Financial info:User payment info · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Financial info:Purchase history-> App functionality, Analytics, Developer communications, Advertising or marketing, Fraud prevention, security, and compliance, Personalization, Account management; Device or other Ids:Device or other Ids->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance->Account management","Messages:Other in-app messages->App functionality; Location:Approximate location->Advertising or marketing; Personal info:Name->App functionality, Fraud prevention, security, and compliance; Personal info:Email address-> Fraud prevention, security, and compliance; Personal info:User Ids-> Advertising or marketing, Fraud prevention, security, and compliance; Personal info:Other info-> Advertising or marketing, Fraud prevention, security, and compliance; App activity:App interactions->Analytics; Financial info:User payment info and Purchase history; Financial info:User payment info->App functionality, Fraud prevention, security, and compliance; Financial info:Purchase history-> Fraud prevention, security, and compliance; Device or other Ids:Device or other Ids->Advertising or marketing",https://play.google.com/store/apps/datasafety?id=fr.vinted,Google Play Data safety: Data may be shared with third parties
ru,bank_1,bank1,Sberbank,ru.sberbankmobile,9,0,"Contact information->So you can instantly transfer money using your phone number; Passport information->To ensure that you, and not a fraudster, applied for a banking product; Photos and files->So you can send the bank information about problems or change your... profile picture in SberBank Online; Cookie information->To make it easier for you to use the website and apps; Geolocation->So you can quickly find the nearest branch or ATM on the map; Transaction data->To ensure secure bank transfers; Health information->To provide you with special service if needed; Audio recordings of your voice, video recordings-> To conduct quality control of service and ensure security at the bank's offices",no declared data,https://www.rustore.ru/catalog/app/ru.sberbankmobile?_rsc=1prkx,Google Play Data safety: No data shared with third parties; Only some Collected items declared only on the site
eu,bank_1,bank1,BGL,lu.bgl.spm.retail,2,0,"Files and docs:Files and docs · Optional->App functionality, Fraud prevention, security, and compliance; Personal info:User IDs->App functionality, Fraud prevention, security, and compliance, Account management",No data shared,https://play.google.com/store/apps/datasafety?id=lu.bgl.spm.retail,Google Play Data safety: No data shared with third parties
ru,bank_2,bank2,Tinkoff,com.idamob.tinkoff.android,0,0,no declared data,no declared data,,Google Play Data safety: No data shared with third parties
eu,bank_2,bank2,ING Luxembourg,com.ing.lu.mobile,3,0,"Device or other IDs:Device or other Ids->Fraud prevention, security, and compliance; App activity:App interactions->Analytics, Fraud prevention, security, and compliance; Financial info:Purchase history and Other financial info; Financial info:Purchase history->App functionality, Fraud prevention, security, and compliance; Financial info:Other financial info->App functionality, Fraud prevention, security, and compliance",No data shared,https://play.google.com/store/apps/datasafety?id=com.ing.lu.mobile,Google Play Data safety: No data shared with third parties
ru,bank_3,bank3,Alfa Bank,ru.alfabank.oavdo.amc,1,1,"Contacts:Information about the user's contacts, names, correspondence history, details such as usernames, call logs, and information about the recency, frequency, and duration of communications","Contacts:Information about the user's contacts, names, correspondence history, details such as usernames, call logs, and information about the recency, frequency, and duration of communications",https://www.rustore.ru/catalog/app/ru.alfabank.mobile.android,Google Play Data safety: Data may be shared with third parties; Data processing methods may depend on...
eu,bank_3,bank3,Revolut,com.revolut.revolut,7,0,"App activity:App interactions->App functionality, Analytics, Developer communications, Fraud prevention, security, and compliance; App activity:In-app search history-> App functionality, Analytics; App activity:Installed apps-> Fraud prevention, security, and compliance; Personal info:Name->App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Email address-> App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Address-> App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Phone number-> App functionality, Fraud prevention, security, and compliance, Account management; Personal info:Other info-> App functionality, Fraud prevention, security, and compliance, Account management; Device or other IDs:Device or other Ids->App functionality; Location:Approximate location and Precise location; Location:Approximate location · Optional->App functionality, Analytics, Advertising or marketing, Fraud prevention, security, and compliance, Personalization; Location:Precise location · Optional->App functionality, Analytics, Fraud prevention, security, and compliance, Personalization; App info and performance:Crash logs and Diagnostics; App info and performance:Crash logs->App functionality, Analytics, Developer communications; App info and performance:Diagnostics-> App functionality, Analytics, Developer communications; Financial info:User payment info · Optional->App functionality, Fraud prevention, security, and compliance, Account managemen;,Financial info: Purchase history-> App functionality; Financial info:Other financial info · Optional->App functionality, Fraud prevention, security, and compliance, Account management; Contacts:Contacts · Optional->App functionality, Fraud prevention, security, and compliance",No data shared,https://play.google.com/store/apps/datasafety?id=com.revolut.revolut,Google Play Data safety: No data shared with third parties
ru,bank_4,bank4,VTB,ru.vtb24.mobilebanking.android,0,0,no declared data,no declared data,https://www.rustore.ru/catalog/app/ru.vtb24.mobilebanking.android,Google Play Data safety: No data shared with third parties
